Page name,Measured loading time [ms]
@sms_w_Alarmlist,761.71
CSPM#06-01-00_n_#SAF-OverviewFloorRM,168.09
CSPM#06-02-00_n_#SAF-OverviewCellarRM,125.53
CSPM#06-03-00_n_#SAF-OverviewFloorFM,239.64
CSPM#06-04-00_n_#SAF-OverviewCellarFM,119.16
CSPM#06-05-00_n_#SAF-OverviewFloorDC,227.77
CSPM#06-06-00_n_#SAF-OverviewCellarDC,127.01
SAF_n_SafetyAreaOverviewRM,171.75
SAF_n_SafetyAreaOverviewFM,125.52
SAF_n_SafetyAreaOverviewDCPage1,135.22
SAF_n_SafetyAreaOverviewDCPage2,244.59
CSPM#02-01-00_n_#GEN-Media,123.11
CSPM#02-02-00_n_#GEN-Drives,443.12
CSPM#02-03-00_n_#GEN-MCC,244.9
CSPTF#67-01-00_w_#MED-BurnerHeatingSection,125.13
CSPTF#67-02-00_w_#MED-BurnerShuttleSection,218.47
CSPTF#67-03-00_w_#MED-BurnerHeatingSection,121.3
CSPRM#61-01-00_w_#MED-HighPressureHydraulic,125.43
CSPRM#62-01-00_w_#MED-LowPressureHydraulic,222.21
CSPRM#68-01-00_w_#MED-HydrostaticSystem,146.68
CSPRM#63-01-00_w_#MED-RollGapLubricationStation,270.16
CSPRM#63-03-00_w_#MED-RollGapLubricationControl,412.87
CSPRM#63-02-00_w_#MED-OilLubricationSystem,206.12
CSPRM#64-01-00_w_#MED-BearingLubricationSystem,149
CSPRM#72-01-00_w_#MED-GreaseSystem,151.37
CSPRM#66-01-00_w_#MED-DescalingEntrySystem,125.74
CSPRM#66-02-00_w_#MED-DescalingExitSystem,242.99
CSPRM#65-03-00_w_#MED-CoolingBeforeStands,113.39
CSPRM#65-01-00_w_#MED-StandInterstandCooling,221.1
CSPRM#65-02-00_w_#MED-TransferBarCooling,180
CSPRM#60-01-00_w_#MED-Parameters,140.21
CSPFM#61-01-00_w_#MED-HighPressureHydraulic,142.86
CSPFM#62-01-00_w_#MED-LowPressureHydraulic,139.17
CSPFM#68-01-00_w_#MED-HydrostaticSystem,228.54
CSPFM#63-01-00_w_#MED-RollGapLubricationStation,186.97
CSPFM#63-03-00_w_#MED-RollGapLubricationControl,230.1
CSPFM#63-02-00_w_#MED-OilLubricationSystem,163.31
CSPFM#64-01-00_w_#MED-BearingLubricationSystem,153.19
CSPFM#72-01-00_w_#MED-GreaseSystem,157.44
CSPFM#69-01-00_w_#MED-DrumShearPitPump,118.32
CSPFM#66-01-00_w_#MED-DescalingEntrySystem,312
CSPFM#66-02-00_w_#MED-DescalingExitSystem,233.63
CSPFM#65-03-00_w_#MED-CoolingBeforeStands,254.47
CSPFM#65-01-00_w_#MED-StandInterstandCoolingF1-F3,287.65
CSPFM#65-02-00_w_#MED-StandInterstandCoolingF4-F6,173.87
CSPFM#60-01-00_w_#MED-Parameters,220.66
CSPDC#62-01-00_w_#MED-LowPressureCC,273.98
CSPDC#63-01-00_w_#MED-CompactOilLubrication,497.29
CSPDC#63-02-00_w_#MED-GearOilLubrication,150.9
CSPDC#72-01-00_w_#MED-GreaseSystem,209.13
CSPDC#69-01-00_w_#MED-CoilerPitPumps,118.15
CSPDC#60-01-00_w_#MED-Parameters,426.49
CSPM#51-01-00_w_#DRV-PowerSupplyMain,159.02
CSPM#53-01-00_w_#DRV-PowerSupplyAuxiliaryTF,114.78
CSPM#53-02-00_w_#DRV-PowerSupplyAuxiliaryRM,173.02
CSPM#53-03-00_w_#DRV-PowerSupplyAuxiliaryFM,173.45
CSPM#53-04-00_w_#DRV-PowerSupplyAuxiliaryDC,213.31
CSPM#53-05-00_w_#DRV-PowerSupplyAuxiliaryCC,145.06
CSPM#01-01-00_n_#TF-Overview,167.22
CSPM#11-01-00_n_#TF-CombustionSettings,127.22
CSPM#19-01-00_n_#TF-Sequences,471.96
CSPM#19-02-00_w_#TF-BurnerOverview,291.32
CSPM#19-04-00_w_#TF-L1Settings,225.89
CSPM#18-01-00_n_#TF-Devices,429.38
CSPM#19-05-00_w_#TF-BurnerOverview,301.96
CSPM#19-06-00_w_#TF-L1Settings,119.02
CSPM#18-32-00_n_#TF-Devices,236.84
CSPM#26-01-00_w_#TF-Zones1-8,125.4
CSPM#18-30-00_n_#TF-CommonEquipment-Devices,171.17
CSPM#26-02-00_w_#TF-Zones1-7,121.26
CSPM#18-31-00_n_#TF-CommonEquipment-Devices,246.92
CSPRM#01-02-00_n_#RM-Overview,233.1
CSPRM#08-02-00_w_#RM-PieceSchedule,139.23
CSPRM#08-03-00_w_#RM-PieceData,123.76
CSPRM#08-04-00_w_#RM-DefaultAlloy,168.18
CSPRM#08-05-00_w_#RM-Parameters,118.18
CSPRM#08-06-00_w_#RM-PassSchedule-Current,128.26
CSPRM#08-07-00_w_#RM-PassSchedule-Preview,132.07
CSPRM#08-26-00_w_#RM-TransferBarCooling-Current,122.23
