Page name,Measured loading time [ms]
@sms_w_Alarmlist,237
CSPM#06-01-00_n_#SAF-OverviewFloorRM,199.8
CSPM#06-02-00_n_#SAF-OverviewCellarRM,376.86
CSPM#06-03-00_n_#SAF-OverviewFloorFM,315.43
CSPM#06-04-00_n_#SAF-OverviewCellarFM,145
CSPM#06-05-00_n_#SAF-OverviewFloorDC,308.86
CSPM#06-06-00_n_#SAF-OverviewCellarDC,666.33
SAF_n_SafetyAreaOverviewRM,239.86
SAF_n_SafetyAreaOverviewFM,132.67
SAF_n_SafetyAreaOverviewDCPage1,368
SAF_n_SafetyAreaOverviewDCPage2,677.29
CSPM#02-01-00_n_#GEN-Media,841
CSPM#02-02-00_n_#GEN-Drives,973.14
CSPM#02-03-00_n_#GEN-MCC,379.25
CSPTF#67-01-00_w_#MED-BurnerHeatingSection,419.5
CSPTF#67-02-00_w_#MED-BurnerShuttleSection,599
CSPTF#67-03-00_w_#MED-BurnerHeatingSection,168
CSPRM#61-01-00_w_#MED-HighPressureHydraulic,310.6
CSPRM#62-01-00_w_#MED-LowPressureHydraulic,1014.25
CSPRM#68-01-00_w_#MED-HydrostaticSystem,648.67
CSPRM#63-01-00_w_#MED-RollGapLubricationStation,708.8
CSPRM#63-03-00_w_#MED-RollGapLubricationControl,651.75
CSPRM#63-02-00_w_#MED-OilLubricationSystem,180.17
CSPRM#64-01-00_w_#MED-BearingLubricationSystem,173.67
CSPRM#72-01-00_w_#MED-GreaseSystem,753
CSPRM#66-01-00_w_#MED-DescalingEntrySystem,421.57
CSPRM#66-02-00_w_#MED-DescalingExitSystem,692.4
CSPRM#65-03-00_w_#MED-CoolingBeforeStands,170
CSPRM#65-01-00_w_#MED-StandInterstandCooling,387.17
CSPRM#65-02-00_w_#MED-TransferBarCooling,652.17
CSPRM#60-01-00_w_#MED-Parameters,790.67
CSPFM#61-01-00_w_#MED-HighPressureHydraulic,320.86
CSPFM#62-01-00_w_#MED-LowPressureHydraulic,203.25
CSPFM#68-01-00_w_#MED-HydrostaticSystem,623.67
CSPFM#63-01-00_w_#MED-RollGapLubricationStation,561.2
CSPFM#63-03-00_w_#MED-RollGapLubricationControl,380.4
CSPFM#63-02-00_w_#MED-OilLubricationSystem,312.29
CSPFM#64-01-00_w_#MED-BearingLubricationSystem,625.5
CSPFM#72-01-00_w_#MED-GreaseSystem,991.6
CSPFM#69-01-00_w_#MED-DrumShearPitPump,717.4
CSPFM#66-01-00_w_#MED-DescalingEntrySystem,730
CSPFM#66-02-00_w_#MED-DescalingExitSystem,491
CSPFM#65-03-00_w_#MED-CoolingBeforeStands,416.33
CSPFM#65-01-00_w_#MED-StandInterstandCoolingF1-F3,211.25
CSPFM#65-02-00_w_#MED-StandInterstandCoolingF4-F6,681.8
CSPFM#60-01-00_w_#MED-Parameters,938.8
CSPDC#62-01-00_w_#MED-LowPressureCC,136.25
CSPDC#63-01-00_w_#MED-CompactOilLubrication,159.33
CSPDC#63-02-00_w_#MED-GearOilLubrication,414.86
CSPDC#72-01-00_w_#MED-GreaseSystem,636.83
CSPDC#69-01-00_w_#MED-CoilerPitPumps,669.4
CSPDC#60-01-00_w_#MED-Parameters,1007.2
CSPM#51-01-00_w_#DRV-PowerSupplyMain,700.83
CSPM#53-01-00_w_#DRV-PowerSupplyAuxiliaryTF,420.2
CSPM#53-02-00_w_#DRV-PowerSupplyAuxiliaryRM,330.14
CSPM#53-03-00_w_#DRV-PowerSupplyAuxiliaryFM,173.14
CSPM#53-04-00_w_#DRV-PowerSupplyAuxiliaryDC,287.17
CSPM#53-05-00_w_#DRV-PowerSupplyAuxiliaryCC,746
CSPM#01-01-00_n_#TF-Overview,1046.83
CSPM#11-01-00_n_#TF-CombustionSettings,979.33
CSPM#19-01-00_n_#TF-Sequences,388.17
CSPM#19-02-00_w_#TF-BurnerOverview,428
CSPM#19-04-00_w_#TF-L1Settings,299.71
CSPM#18-01-00_n_#TF-Devices,643.43
CSPM#19-05-00_w_#TF-BurnerOverview,321
CSPM#19-06-00_w_#TF-L1Settings,421.17
CSPM#18-32-00_n_#TF-Devices,408.75
CSPM#26-01-00_w_#TF-Zones1-8,262.14
CSPM#18-30-00_n_#TF-CommonEquipment-Devices,700.14
CSPM#26-02-00_w_#TF-Zones1-7,432.25
CSPM#18-31-00_n_#TF-CommonEquipment-Devices,688
CSPRM#01-02-00_n_#RM-Overview,583
CSPRM#08-02-00_w_#RM-PieceSchedule,252
CSPRM#08-03-00_w_#RM-PieceData,160.29
CSPRM#08-04-00_w_#RM-DefaultAlloy,626
CSPRM#08-05-00_w_#RM-Parameters,1127.67
CSPRM#08-06-00_w_#RM-PassSchedule-Current,174.86
CSPRM#08-07-00_w_#RM-PassSchedule-Preview,265.86
CSPRM#08-26-00_w_#RM-TransferBarCooling-Current,156.67
CSPRM#08-24-00_w_#RM-RollGapLubr-Settings,576.4
CSPRM#19-06-00_n_#RM-Sequences,640.6
CSPRM#16-12-00_w_#RM-RMEntry,308.86
CSPRM#16-01-00_w_#RM-Calibration-E1R1,151.6
CSPRM#16-03-00_w_#RM-Calibration-E2R2,183.43
CSPRM#16-13-00_w_#RM-RMExit,639.33
CSPRM#14-01-00_w_#RM-RollChange-R1E1,555.5
CSPRM#14-02-00_w_#RM-RollChange-R2E2,311.71
CSPRM#08-08-00_w_#RM-RollData,132
CSPRM#08-09-00_w_#RM-RollStatus,742.14
CSPRM#18-06-00_n_#RM-RMEntry-Devices,694.33
CSPRM#20-01-00_n_#RM-DetailsDescaler,806.4
CSPRM#18-07-00_n_#RM-DevicesDescaler,270.86
CSPRM#25-01-00_w_#RM-SideGuides,721
CSPRM#23-01-00_w_#RM-StandR1,469.17
CSPRM#52-01-00_w_#RM-DriveR1,683.8
CSPRM#18-08-00_n_#RM-DevicesR1,1309.4
CSPRM#23-02-00_w_#RM-StandE1,682.17
CSPRM#52-02-00_w_#RM-DriveE1,918.8
CSPRM#18-09-00_n_#RM-DevicesE1,686.67
CSPRM#23-03-00_w_#RM-StandR2,716.6
CSPRM#52-03-00_w_#RM-DriveR2,713.2
CSPRM#18-10-00_n_#RM-DevicesR2,748.2
CSPRM#23-04-00_w_#RM-StandE2,526.5
CSPRM#52-04-00_w_#RM-DriveE2,871.4
CSPRM#18-11-00_n_#RM-DevicesE2,670.33
CSPRM#23-05-00_n_#RM-DetailsTBC,858
CSPRM#23-06-00_n_#RM-DetailsPinchRoll,499
CSPRM#18-33-00_n_#RM-DevicesTBC,436
CSPRM#18-26-00_n_#RM-RMExit-Devices,603.33
CSPRM#08-01-00_w_#RM-Disturbances,876.25
CSPRM#08-10-00_w_#RM-Reports,693.5
CSPM#01-03-00_n_#FM-Overview,270.43
CSPM#08-14-00_w_#FM-PieceSchedule,265
CSPM#08-15-00_w_#FM-PieceData,174.8
CSPM#08-16-00_w_#FM-DefaultAlloy,663.33
CSPM#08-17-00_w_#FM-PassSchedule-Current,183
CSPM#08-18-00_w_#FM-PassSchedule-Preview,164.5
CSPM#08-19-00_w_#FM-PassSchedule-Fictive,182.83
CSPM#08-20-00_w_#FM-ProfileFlatness,185.33
CSPM#08-21-00_w_#FM-RollGapLubr-Settings,644.71
CSPM#08-12-00_w_#FM-CurrentSlab,222.67
CSPM#08-13-00_w_#FM-PreviousSlab,140.6
CSPM#19-07-00_n_#FM-Sequences,572.5
CSPM#16-14-00_w_#FM-FMEntry,430.2
CSPM#16-03-00_w_#FM-Calibration-F1F2,228.57
CSPM#16-05-00_w_#FM-Calibration-F3F4,160
CSPM#16-07-00_w_#FM-Calibration-F5F6,698.5
CSPM#14-03-00_w_#FM-RollChange-F1F2,194.14
CSPM#14-04-00_w_#FM-RollChange-F3F4,376.83
CSPM#14-05-00_w_#FM-RollChange-F5F6,285.71
CSPM#08-22-00_w_#FM-RollData,387.2
CSPM#08-23-00_w_#FM-RollStatus,778.17
CSPM#18-13-00_n_#FM-FMEntry-Devices,680.83
CSPM#30-01-00_n_#FM-DetailsShear,357
CSPM#52-05-00_w_#FM-DriveShear,629.4
CSPM#20-02-00_n_#FM-Descaler,670
CSPM#23-06-00_w_#FM-StandF1,340.86
CSPM#52-06-00_w_#FM-DriveF1,408.5
CSPM#18-14-00_n_#FM-DevicesF1,637.4
CSPM#23-07-00_w_#FM-StandF2,444.8
CSPM#52-07-00_w_#FM-DriveF2,598
CSPM#18-15-00_n_#FM-DevicesF2,656.86
CSPM#23-08-00_w_#FM-StandF3,684
CSPM#52-08-00_w_#FM-DriveF3,387
CSPM#18-16-00_n_#FM-DevicesF3,664.86
CSPM#23-09-00_w_#FM-StandF4,231.17
CSPM#52-09-00_w_#FM-DriveF4,629.14
CSPM#18-17-00_n_#FM-DevicesF4,665
CSPM#23-10-00_w_#FM-StandF5,587.6
