Page name,Measured loading time [ms]
@sms_w_Alarmlist,657.45
SPM#12-01-00_n_#GEN-OverviewCoilTracking,254.13
SPM#06-01-00_n_#SAF-OverviewFloor,247.05
SPM#06-02-00_n_#SAF-OverviewCellar,255.02
SAF1_n_SafetyAreaOverview,185.7
SPM#02-01-00_n_#GEN-Media,112.65
SPM#02-02-00_n_#GEN-Drives,124.12
SPM#61-01-00_w_#MED-HydraulicSystem,217.3
SPM#63-01-00_w_#MED-OilLubrication,189.84
SPM#63-02-00_w_#MED-OilAirLubrication,229.18
SPM#70-01-00_w_#MED-FumeExhaust,324.95
SPM#74-01-00_n_#MED-WetSkinPassSystem,202.38
SPM#60-01-00_w_#MED-Parameters,266.37
SPM#51-01-00_w_#DRV-PowerSupplyMain,178.19
SPM#53-01-00_w_#DRV-PowerSupplyAuxiliary,294.58
SPM#52-01-00_n_#DRV-DrivePayOffReel,234.4
SPM#52-02-00_n_#DRV-DriveStandC1,271.66
SPM#52-03-00_n_#DRV-DriveTensionReel,200.8
SPM#52-13-00_n_#DRV-DrivesBriddleRolls,235.26
SPM#52-14-00_n_#DRV-DrivesDeflectorRolls,246.41
SPM#54-01-00_n_#DRV-DrivesGroupJogging,267.65
SPM#03-02-00_n_#SPM-OverviewCoilPreparationStation,250.57
SPM#03-01-00_n_#SPM-OverviewCoilTransportEntry,255.69
SPM#03-03-00_n_#SPM-OverviewPupCoilHandling,368.28
SPM#03-10-00_n_#SPM-DeviceTestEntry,242.39
SPM#01-01-00_n_#SPM-Overview-SPM,239.09
SPM#01-02-00_n_#SPM-OverviewTrackingCorrection,258.28
SPM#01-03-00_n_#SPM-OverviewPayOffReel,474.59
SPM#01-04-00_n_#SPM-OverviewTensionReel,223.12
SPM#08-02-00_n_#SPM-SetupData,211.58
SPM#16-01-00_n_#SPM-WarmUp,229.38
SPM#16-02-00_n_#SPM-Calibration,395.78
SPM#16-03-00_n_#SPM-RollChange,231
SPM#16-04-00_n_#SPM-StandRollData,166.76
SPM#16-05-00_n_#SPM-DeflectorRollData,170.31
SPM#25-01-00_n_#SPM-DeviceTestMillEntry,233.44
SPM#25-02-00_w_#SPM-MillStand,222.24
SPM#25-03-00_n_#SPM-DeviceTestRollChange,197.45
SPM#25-04-00_n_#SPM-DeviceTestMillExit,226.6
SPM#25-10-00_n_#SPM-MeasurementSystems,136.12
SPM#04-02-00_n_#SPM-WalkingBeamExit,268.94
SPM#04-10-00_n_#SPM-DeviceTestExit,176.73
i8Sys_w_Environment,206.28
i8Sys_w_NodeRights,243.08
i8App_n_Connections,169.37
i8Sys_n_Information,184.44
i8Sys_w_UserRights,210.29
i8Sys_n_Database,158.92
i8Sys_n_Application,215.16
i8Sys_n_PdlStatistics,168.42
