Page name,Measured loading time [ms]
i8Sys_n_PdlStatistics,816.75
@sms_w_Alarmlist,1276.75
SPM#12-01-00_n_#GEN-OverviewCoilTracking,670.6
SPM#06-01-00_n_#SAF-OverviewFloor,847.33
SPM#06-02-00_n_#SAF-OverviewCellar,773.5
SAF1_n_SafetyAreaOverview,621.71
SPM#02-01-00_n_#GEN-Media,948.83
SPM#02-02-00_n_#GEN-Drives,612.25
SPM#61-01-00_w_#MED-HydraulicSystem,631.5
SPM#63-01-00_w_#MED-OilLubrication,212.2
SPM#63-02-00_w_#MED-OilAirLubrication,304.17
SPM#70-01-00_w_#MED-FumeExhaust,567.67
SPM#74-01-00_n_#MED-WetSkinPassSystem,677.29
SPM#60-01-00_w_#MED-Parameters,635
SPM#51-01-00_w_#DRV-PowerSupplyMain,1032
SPM#53-01-00_w_#DRV-PowerSupplyAuxiliary,611.4
SPM#52-01-00_n_#DRV-DrivePayOffReel,295.67
SPM#52-02-00_n_#DRV-DriveStandC1,119.17
SPM#52-03-00_n_#DRV-DriveTensionReel,639
SPM#52-13-00_n_#DRV-DrivesBriddleRolls,190.29
SPM#52-14-00_n_#DRV-DrivesDeflectorRolls,580.33
SPM#54-01-00_n_#DRV-DrivesGroupJogging,893.2
SPM#03-02-00_n_#SPM-OverviewCoilPreparationStation,913.33
SPM#03-01-00_n_#SPM-OverviewCoilTransportEntry,901.17
SPM#03-03-00_n_#SPM-OverviewPupCoilHandling,596.5
SPM#03-10-00_n_#SPM-DeviceTestEntry,750
SPM#01-01-00_n_#SPM-Overview-SPM,897.33
SPM#01-02-00_n_#SPM-OverviewTrackingCorrection,769.5
SPM#01-03-00_n_#SPM-OverviewPayOffReel,741.8
SPM#01-04-00_n_#SPM-OverviewTensionReel,703.17
SPM#08-02-00_n_#SPM-SetupData,921.2
SPM#16-01-00_n_#SPM-WarmUp,329.83
SPM#16-02-00_n_#SPM-Calibration,414.86
SPM#16-03-00_n_#SPM-RollChange,949.67
SPM#16-04-00_n_#SPM-StandRollData,1040.67
SPM#16-05-00_n_#SPM-DeflectorRollData,665.2
SPM#25-01-00_n_#SPM-DeviceTestMillEntry,575
SPM#25-02-00_w_#SPM-MillStand,329.86
SPM#25-03-00_n_#SPM-DeviceTestRollChange,617
SPM#25-04-00_n_#SPM-DeviceTestMillExit,790.2
SPM#25-10-00_n_#SPM-MeasurementSystems,959.83
SPM#04-02-00_n_#SPM-WalkingBeamExit,530.67
SPM#04-10-00_n_#SPM-DeviceTestExit,910
i8Sys_w_Environment,609.4
i8Sys_w_NodeRights,621.25
i8App_n_Connections,743.43
i8Sys_n_Information,498.33
i8Sys_w_UserRights,821.71
i8Sys_n_Database,865.17
i8Sys_n_Application,1091.67
